model,accuracy,recall,precision,f1_score
knn,0.6014490401604483,0.5590065113391381,0.6078093376709821,0.5807833643453312
svm,0.6511690824102286,0.8469074471894021,0.6087162397494674,0.7066643222552462
nb,0.5966183395775897,0.5894976803711406,0.5915275845196584,0.5823209082436824
lr,0.5989601693409365,0.5709879752572922,0.6044201797764664,0.5797612103227645
rf,0.6649099309789126,0.6900834437918505,0.655708981283304,0.6677927077803152
xgb,0.6928546282378873,0.7568552841069238,0.6680676480207823,0.708107353484211
