model,accuracy,recall,precision,f1_score
knn,0.584510787013548,0.5451549180702516,0.587297427953172,0.5601623887239484
svm,0.6415910031689058,0.7968263649244692,0.6085106430381269,0.6872531636346587
nb,0.5966368087573143,0.4246168708244776,0.6483671149112326,0.5059236232628169
lr,0.582227075293601,0.5361548342741351,0.5915794641333715,0.5576499145552755
rf,0.6286460860066095,0.6290097393940779,0.620080431570606,0.62134823598575
xgb,0.6446804520867777,0.7065867556429067,0.6296668855950942,0.661847796455478
