model,accuracy,recall,precision,f1_score
knn,0.6351603929241714,0.6108258869057142,0.6414221628536005,0.6235465343997771
svm,0.651087324617689,0.8443603785299114,0.6089636312283304,0.7062722112962939
nb,0.5935553215010891,0.5573158294672852,0.5946577090182674,0.5688295141789252
lr,0.5840993259582273,0.5381956506006658,0.5935009263920067,0.5596395339649913
rf,0.6864119630273169,0.6819264631944603,0.6813539912824094,0.6786699532292852
xgb,0.6892790026083201,0.7342806579518706,0.6701208776750024,0.6959422252599762
