model,accuracy,recall,precision,f1_score
knn,0.6508162518371552,0.6301777429896931,0.652695530844844,0.6379016366407544
svm,0.6507024440100979,0.7242833051473669,0.6317798166820022,0.6702094515052215
nb,0.6453089929178344,0.4897772070754393,0.7052196562551232,0.5672009394136522
lr,0.5989738321156215,0.5624957625827486,0.6049515927585045,0.57617786994734
rf,0.6983453419584023,0.7418258792878853,0.6821034294672716,0.7066035779043199
xgb,0.7019163841939864,0.775932184183864,0.6770303495474436,0.7194658974369876
