model,accuracy,recall,precision,f1_score
knn,0.6431827831472274,0.646079722482498,0.6403953399837826,0.6416476341906832
svm,0.6424771732343103,0.8394020766201218,0.6022203915195561,0.6994256020681168
nb,0.5889038272259647,0.28784927744894145,0.7477128650503263,0.3943408442673724
lr,0.5902452620654637,0.5469250634184244,0.5965417179470419,0.5652186920976056
rf,0.6758203540383454,0.7083074803269571,0.6644542580488388,0.6838903250487071
xgb,0.6829003613095217,0.7257507370249332,0.6654510904260421,0.69299105234363
