model,accuracy,recall,precision,f1_score
knn,0.6303531561837779,0.6366279490519612,0.6176359107597991,0.6243646413268207
svm,0.68280903353149,0.7575889286285623,0.6577222497034124,0.7018491229972333
nb,0.6312984005603697,0.4214594236350755,0.7353953837475846,0.5222808561026123
lr,0.5911574767607047,0.5240688156561617,0.6065465022276169,0.5566800672362638
rf,0.6827767773209598,0.7157618114435024,0.666312635338713,0.6870284188626158
xgb,0.6898177647961594,0.7515448004509755,0.6639640947210728,0.7007756987764993
