model,accuracy,recall,precision,f1_score
knn,0.622053128729515,0.5885629727814978,0.6309531479491624,0.60592121165359
svm,0.6393877343766202,0.8331945936269245,0.6003430676347267,0.6958901182896231
nb,0.5848316197886877,0.2718350778161208,0.7626044277360067,0.3740504864281834
lr,0.5894246019507475,0.5539641276443388,0.594710501028123,0.5667983870888627
rf,0.6779565487303293,0.7232029065825658,0.6610000788971377,0.6904957723510348
xgb,0.6556312607739175,0.7098528997265199,0.6390063110161751,0.6705592112117272
