model,accuracy,recall,precision,f1_score
knn,0.631651229552938,0.5925577621866216,0.6393620299277717,0.6105233703000713
svm,0.6510505167653472,0.8409125492302184,0.6097033144608722,0.7050982231003754
nb,0.5954733800893648,0.5312175290048831,0.608629809419283,0.5576468502569221
lr,0.6019042606537601,0.6050074369053332,0.6020775013152886,0.5945140011726411
rf,0.7004188103688825,0.7335757707338255,0.6864186419170191,0.7051358781776604
xgb,0.6890065283370176,0.750557339397125,0.6640742042467538,0.7025439460762416
