model,accuracy,recall,precision,f1_score
knn,0.6327384279077976,0.6178504772569722,0.6269037609396518,0.6203598408515889
svm,0.6438757152775967,0.7884598940360019,0.6102795453742117,0.685991465596437
nb,0.6303982066103638,0.4941380331527908,0.6870197926387578,0.5617173285290329
lr,0.6078361333349969,0.6288080097660564,0.6055507567692923,0.6093455427851098
rf,0.6950413416291173,0.7321899924583495,0.6787050552799018,0.7010014715809002
xgb,0.6936222807306297,0.7520326271606066,0.6717531445033964,0.7056395996241923
